Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,class,Split
85517,410.6220937,269.8171718,0.753808948,88349,0.70294108,1127.889,0,test
71054,364.7511364,249.723369,0.728880994,72956,0.727848231,1027.206,0,test
88290,514.4361539,221.4448377,0.902609051,92317,0.555157323,1277.388,0,test
77055,375.2501319,262.8124219,0.713783938,79255,0.732267077,1095.283,1,test
137921,598.761032,297.2016018,0.868116234,142159,0.748756786,1510.852,0,test
50545,286.8713324,227.1597173,0.610712677,51771,0.835454545,847.664,1,test
88724,446.4304557,260.3787541,0.812295614,92630,0.656529107,1216.535,1,test
82853,430.1149972,251.1757003,0.811772822,85292,0.746436873,1139.84,0,test
43345,323.8592139,175.1857446,0.841066464,46785,0.649275753,877.02,1,test
49059,301.8003982,210.4672152,0.716709132,50835,0.698607314,867.582,1,test
49414,290.458237,219.4182435,0.65523977,51029,0.711033729,869.188,1,test
117592,533.2928563,288.5583194,0.840966033,123587,0.730067672,1432.006,0,test
73319,392.3626656,239.1884853,0.792700937,75653,0.709568466,1075.279,1,test
59459,347.1551548,222.109478,0.768542385,61585,0.709619286,966.329,1,test
38545,283.987539,175.4205147,0.786409924,39765,0.760436395,770.59,1,test
48447,331.0510122,189.9172045,0.819079815,49996,0.625615,883.044,1,test
149841,547.4564052,354.5846058,0.761899987,155682,0.711847256,1544.342,0,test
33565,261.5543311,167.7084908,0.767374275,35794,0.68155052,751.413,1,test
39439,246.7636115,212.635393,0.507423663,42795,0.646827284,793.005,1,test
97254,422.0440713,305.8751238,0.68901521,100815,0.633349614,1254.468,0,test
77468,405.9365937,245.9897977,0.795479241,79220,0.721545397,1100.676,1,test
87302,392.9101168,284.1790677,0.690568105,89605,0.73824584,1122.16,1,test
86141,414.1071647,266.9075277,0.764572839,87883,0.718740092,1146.164,1,test
65495,365.3190043,230.5255523,0.775762211,67299,0.697943308,989.581,1,test
79057,436.3900466,236.8953933,0.839828107,82642,0.654597092,1148.146,0,test
87350,440.7356978,259.2931487,0.808628995,90899,0.636476246,1214.252,0,test
85105,382.2899916,288.7584072,0.655334662,88056,0.776944987,1139.446,1,test
69708,375.4472798,239.1327753,0.770923534,71321,0.727177893,1022.568,1,test
54502,346.457978,204.0812123,0.808096294,56464,0.636111111,927.283,0,test
195281,609.8297259,408.5356188,0.742435528,197426,0.769656124,1639.103,0,test
50445,308.3589121,208.8552452,0.735695738,51555,0.723225806,851.632,1,test
152267,598.9676358,331.2490172,0.833159184,157353,0.594050406,1570.502,0,test
66797,358.1989179,240.7826944,0.740366108,68732,0.697662517,1006.375,1,test
104669,546.6727559,248.5279077,0.890685928,110984,0.687345679,1398.545,0,test
85156,422.2791325,260.2106227,0.7875856,87057,0.702560887,1140.684,1,test
39724,271.6656922,189.484632,0.716592623,41587,0.724282537,781.97,1,test
121034,518.720443,305.7358095,0.80783856,125665,0.70666472,1418.304,0,test
67044,361.2553722,238.2264457,0.751756706,68626,0.756943504,989.016,1,test
69746,370.5604807,241.9144571,0.757501058,72724,0.71260281,1027.513,0,test
153824,536.606993,369.2864544,0.725532478,159063,0.739083641,1582.146,0,test
46427,253.8420284,235.9068241,0.369212459,48275,0.684219059,844.312,1,test
86658,439.2290769,258.3043276,0.80879864,89048,0.699757752,1184.581,0,test
45051,323.5892546,180.0697373,0.830863512,46532,0.830632225,836.625,0,test
120255,471.8135294,326.5463364,0.721793107,123486,0.723886976,1322.814,0,test
141137,600.126138,305.7668376,0.86046812,145158,0.585589398,1495.983,0,test
38968,269.4020207,185.7275682,0.724374455,40147,0.737583283,769.242,1,test
142419,580.4381967,318.180558,0.836364958,145899,0.754857688,1512.658,0,test
60199,375.2796881,205.4140518,0.836895588,61711,0.736289139,971.185,1,test
192815,731.4402924,337.1023722,0.887465183,196576,0.734399043,1803.686,0,test
41283,268.1253606,199.6354013,0.667555617,42505,0.732383622,798.515,1,test
78161,453.2033953,222.6050244,0.871057374,81689,0.733492868,1161.291,0,test
76708,458.0446404,216.3409323,0.881430321,78694,0.658392557,1135.68,0,test
116406,612.665318,251.8328267,0.911615194,125638,0.526259635,1480.951,0,test
141220,575.6823646,316.6212427,0.835169296,144300,0.659151906,1507.939,0,test
79058,454.4372156,236.9642525,0.853284574,82555,0.578255972,1175.034,0,test
82028,397.1149759,268.3337727,0.737169367,84427,0.686375085,1106.355,1,test
52731,309.9772864,219.7253525,0.70536589,54438,0.695879962,894.48,1,test
49371,320.643403,200.2455856,0.78101538,52692,0.675122045,921.059,0,test
110936,500.9313423,286.2523864,0.820643598,113888,0.732395854,1319.435,0,test
48177,305.784503,202.4661938,0.74939737,49877,0.677642591,860.548,1,test
68253,388.4547229,224.7316909,0.815662968,70347,0.746130132,1042.257,1,test
79492,422.5673288,243.1162956,0.817920329,82708,0.637353474,1122.831,0,test
66315,363.5788956,234.4544522,0.764307755,68906,0.688944066,1015.021,0,test
58570,355.3995375,214.5674661,0.797184383,60494,0.657557931,962.708,1,test
101772,477.9089439,273.4043639,0.820194593,104567,0.684337933,1266.657,0,test
79100,413.4963654,246.4047067,0.803054658,81839,0.655148423,1113.607,1,test
72924,434.2226657,220.4917639,0.861483822,77356,0.621603191,1183.236,0,test
57785,314.4309771,236.183035,0.660138051,58867,0.732865767,903.769,1,test
97583,522.7865556,241.940773,0.886467562,101231,0.725982963,1298.731,0,test
48693,306.5739068,204.2806212,0.745653394,50298,0.740127679,848.422,1,test
67874,360.0234655,243.2719738,0.737166231,69889,0.678319442,1035.277,1,test
90375,480.6324763,241.0167682,0.865182269,93826,0.643559069,1251.679,0,test
101618,443.4929899,293.3841689,0.749918202,104508,0.750241792,1238.627,0,test
79510,380.7191934,267.0341186,0.712773879,81779,0.73159735,1075.307,1,test
77043,388.6927274,257.5462902,0.748976897,80094,0.72693048,1112.212,1,test
55858,298.8588591,239.8993992,0.596358734,58630,0.681452744,915.13,0,test
58460,290.7535562,258.3843539,0.458544698,60254,0.774756149,908.357,1,test
104728,495.6716825,272.6867344,0.835075211,109157,0.730218937,1316.398,0,test
105053,490.4095974,277.084224,0.825086992,107939,0.670404145,1297.279,0,test
63718,407.5658564,200.2610472,0.870957281,65950,0.7229673,1023.064,1,test
68119,385.3917044,230.7152076,0.801009823,70719,0.6593012,1026.686,1,test
57980,336.312888,222.6097658,0.74958095,59311,0.777295152,925.795,1,test
85449,471.1246639,238.3286787,0.862608676,89794,0.584770469,1246.2,0,test
46120,300.0971584,201.2063136,0.741936124,49996,0.628971988,907.025,1,test
74426,411.6968203,231.7495984,0.826515979,76449,0.679453706,1071.612,1,test
105308,473.3133932,284.170622,0.799710534,108094,0.787014132,1259.934,0,test
45567,278.5021961,216.7666389,0.627855296,49075,0.714070801,854.724,1,test
87252,433.4845202,261.0666438,0.798306516,90160,0.73579464,1166.517,0,test
104385,488.897551,277.6837439,0.823042761,108197,0.772169783,1315.843,0,test
143386,469.2765081,397.3101898,0.532159522,146328,0.750260314,1422.014,0,test
92384,368.4062138,320.7145792,0.492086934,93772,0.749006827,1135.662,1,test
81546,381.3486543,273.8100991,0.696038327,82807,0.711719732,1057.448,1,test
43725,301.3222176,186.9506295,0.784258452,45021,0.697068248,818.873,1,test
43743,300.906335,185.8512318,0.786462407,44836,0.670082721,802.261,1,test
61463,369.3997455,213.6196205,0.81583235,63117,0.786776754,966.493,1,test
56709,293.408498,247.7165958,0.535914821,58143,0.778285573,904.508,1,test
72653,403.1909593,231.0557342,0.819507998,74718,0.663897875,1062.07,0,test
108379,482.5655775,289.3857273,0.800238655,111707,0.702710238,1316.871,0,test
67468,424.563654,207.8230517,0.87200443,70674,0.611693881,1105.042,0,test
48093,329.9357423,187.0417222,0.823784218,49367,0.745108064,858.386,1,test
56589,343.9347569,213.1333342,0.784845746,58274,0.659853078,931.451,1,test
100319,480.7789636,267.6688956,0.830686786,104255,0.639614136,1289.209,0,test
145693,591.1801444,321.4311911,0.839272464,151644,0.6485275,1595.364,0,test
71141,417.1369997,219.1852525,0.850823569,73629,0.725454805,1085.215,0,test
147843,651.0028073,299.7432602,0.887694392,155494,0.719325646,1633.723,0,test
64380,366.9648423,227.7716147,0.784055626,66125,0.664375716,981.544,1,test
